j1,j2,j3,j4,j5
1.0107999752208452e+00,6.7753922339053247e+01,4.5415454143867391e+03,-1.8340818394728279e+02,-1.2293850569986365e+04
1.0053724590781992e+00,7.1632787709321690e+01,5.1038361242891706e+03,-2.5234303062954211e+02,-1.7979440932354875e+04
9.9966914150357478e-01,7.5195112823898896e+01,5.6561763866136744e+03,-3.2790165579128467e+02,-2.4664762548620434e+04
9.9317689657045261e-01,7.8788723204934001e+01,6.2503094118474146e+03,-4.1736201924468071e+02,-3.3109328986680521e+04
9.8589628825348585e-01,8.2381493846461282e+01,6.8837976258103045e+03,-5.2156666362726571e+02,-4.3582110412694317e+04
9.7811348806273624e-01,8.5829458577505108e+01,7.5315349901760728e+03,-6.3699095886638872e+02,-5.5895956640525597e+04
9.6981217350873128e-01,8.9154833110657677e+01,8.1960038078627604e+03,-7.6419090282919728e+02,-7.0252069697088111e+04
9.6102634538402720e-01,9.2354631791405012e+01,8.8752801151540207e+03,-9.0290921710734335e+02,-8.6769575764015695e+04
9.5174503441875513e-01,9.5440992051512765e+01,9.5708226829257001e+03,-1.0535278198498770e+03,-1.0564776977454568e+05
9.4202067005869972e-01,9.8403479194331766e+01,1.0279227436639896e+04,-1.2153398174657309e+03,-1.2695439733247022e+05
9.3183625961104299e-01,1.0125332796933593e+02,1.1002186617148040e+04,-1.3887118446971115e+03,-1.5089742904478812e+05
9.2165398970620516e-01,1.0387962117978638e+02,1.1708272103173722e+04,-1.5655924233647586e+03,-1.7645792203744192e+05
9.1083085436750255e-01,1.0645791025847369e+02,1.2442800551010403e+04,-1.7570410866010529e+03,-2.0536296220193105e+05
8.9893750962009211e-01,1.0906808804220577e+02,1.3233231122160827e+04,-1.9709989615749118e+03,-2.3914130400788403e+05
8.8669973994036533e-01,1.1153796028709856e+02,1.4030360024514128e+04,-2.1945378808889977e+03,-2.7605092003702698e+05
8.8669973994036533e-01,1.1153796028709856e+02,1.4030360024514128e+04,-2.1945378808889977e+03,-2.7605092003702698e+05
8.7844920180205210e-01,1.1309155023999620e+02,1.4559406177897112e+04,-2.3469275007858905e+03,-3.0214344645117555e+05
8.7412552417002609e-01,1.1387233203362931e+02,1.4834148694020892e+04,-2.4272696312789103e+03,-3.1620041486670368e+05
8.6539418448081029e-01,1.1538300661682644e+02,1.5384016272221470e+04,-2.5904270703081156e+03,-3.4538164128418104e+05
8.6119152864977278e-01,1.1608000614670286e+02,1.5646424028514079e+04,-2.6693579963655288e+03,-3.5980276433010964e+05
8.5208001824146540e-01,1.1752739691604533e+02,1.6210553856630131e+04,-2.8412712592256416e+03,-3.9189654478499270e+05
8.4798799474225062e-01,1.1815016730743778e+02,1.6461862810945309e+04,-2.9187951932271035e+03,-4.0667573427233234e+05
8.3878049127292853e-01,1.1949266878674140e+02,1.7022925595359182e+04,-3.0938545199449950e+03,-4.4075051491136401e+05
8.3451960294892513e-01,1.2008737086435033e+02,1.7280572667380016e+04,-3.1751227480525936e+03,-4.5690016344476823e+05
8.2556888412118823e-01,1.2128432476624376e+02,1.7817880151408870e+04,-3.3462836392111408e+03,-4.9160252943650878e+05
8.2078934520087032e-01,1.2189542565578125e+02,1.8102689664140074e+04,-3.4378891358520364e+03,-5.1056091556538589e+05
8.1209385633115372e-01,1.2295913078709999e+02,1.8617241992474810e+04,-3.6048390880696606e+03,-5.4580868632462726e+05
8.0679907133360618e-01,1.2357741375616844e+02,1.8928352465032320e+04,-3.7066387461196659e+03,-5.6774585674314911e+05
7.9835359179256993e-01,1.2451920971188714e+02,1.9421261138763035e+04,-3.8691607209074432e+03,-6.0347299763993383e+05
7.9294321643548760e-01,1.2509472182486252e+02,1.9734943315090310e+04,-3.9733292129350334e+03,-6.2683241663263086e+05
7.8446737526956178e-01,1.2595408177328083e+02,2.0223187369517971e+04,-4.1365281837388293e+03,-6.6416096518110659e+05
7.7919499495003730e-01,1.2646334768039105e+02,2.0525001328527469e+04,-4.2380136132312045e+03,-6.8782960942742461e+05
7.7037336211246887e-01,1.2727338315460098e+02,2.1026835630971629e+04,-4.4076861966633478e+03,-7.2819383655075170e+05
7.6525017329090173e-01,1.2772025392225150e+02,2.1316510379623774e+04,-4.5061127264301276e+03,-7.5207021404118824e+05
7.5610014337110432e-01,1.2847653636161803e+02,2.1830733058566137e+04,-4.6816210560216623e+03,-7.9550104983920080e+05
7.5488901150702070e-01,1.2857269643987576e+02,2.1898501657639641e+04,-4.7048199483999124e+03,-8.0132493361147319e+05
7.5119660059620130e-01,1.2886026486627236e+02,2.2104689835160360e+04,-4.7754943775322308e+03,-8.1918830552187876e+05
7.4439418217178577e-01,1.2936826491963464e+02,2.2482910760383304e+04,-4.9054671689326651e+03,-8.5252113928880787e+05
7.4203864988744939e-01,1.2953768711085203e+02,2.2613394038941435e+04,-4.9503980022025762e+03,-8.6419097924450366e+05
7.3697059026738210e-01,1.2989106653462611e+02,2.2893300476727851e+04,-5.0469235076859368e+03,-8.8952026822964638e+05
7.3368674378136955e-01,1.3011200714218808e+02,2.3074063346595634e+04,-5.1093537592640732e+03,-9.0609279566789081e+05
7.2812205013638454e-01,1.3047219016393873e+02,2.3379311755476181e+04,-5.2149256801119200e+03,-9.3446253261925478e+05
7.2262960450117542e-01,1.3081041100680278e+02,2.3679300600451439e+04,-5.3188342789371336e+03,-9.6281538117319997e+05
7.1945420753396783e-01,1.3099822210778487e+02,2.3852156281385469e+04,-5.3787658695486161e+03,-9.7936568952741206e+05
7.1407297766420863e-01,1.3130373913289466e+02,2.4144131551756669e+04,-5.4800767685850915e+03,-1.0076765162074264e+06
7.0849816986066505e-01,1.3160353505161854e+02,2.4445356635838139e+04,-5.5846761020691119e+03,-1.0373535859593374e+06
7.0537541208031562e-01,1.3176412697660297e+02,2.4613538919229439e+04,-5.6431006581016018e+03,-1.0541312029333792e+06
6.9994654046305760e-01,1.3203091592754657e+02,2.4904991671413107e+04,-5.7443696140179309e+03,-1.0835604402922019e+06
6.9456548695066000e-01,1.3227999698975319e+02,2.5192725426698489e+04,-5.8443501492615505e+03,-1.1130564859268621e+06
6.9152859108916398e-01,1.3241389462175312e+02,2.5354612542173283e+04,-5.9005935509842866e+03,-1.1298456531424711e+06
6.8603129489538861e-01,1.3264415086802339e+02,2.5646746570332321e+04,-6.0020537473183958e+03,-1.1604970920440119e+06
6.8055592010667665e-01,1.3285812672322541e+02,2.5936563498908068e+04,-6.1026419018102442e+03,-1.1913577520713960e+06
6.7760811420755163e-01,1.3296704025094786e+02,2.6092122308443497e+04,-6.1565949421783807e+03,-1.2081086255036637e+06
6.7231363054369220e-01,1.3315171452917824e+02,2.6370697062503754e+04,-6.2531315246082249e+03,-1.2384326984486592e+06
6.6675333659938452e-01,1.3333066471977892e+02,2.6662133024014191e+04,-6.3539878725141289e+03,-1.2706069548666503e+06
6.6360854965436900e-01,1.3342513499350744e+02,2.6826457641794605e+04,-6.4107824239105030e+03,-1.2889519141514457e+06
6.5852068761639682e-01,1.3356775106923376e+02,2.7091546949372692e+04,-6.5022765695979906e+03,-1.3188567566115605e+06
6.5319989610829521e-01,1.3370348673440694e+02,2.7367766699665757e+04,-6.5974238804234501e+03,-1.3504266940838757e+06
6.4986683266795719e-01,1.3378158617302566e+02,2.7540277329579065e+04,-6.6567383656580032e+03,-1.3703561599543567e+06
6.4498688254057701e-01,1.3388637707777301e+02,2.7792134153804120e+04,-6.7431685231780048e+03,-1.3997469220412904e+06
6.3956816357595347e-01,1.3398953026916226e+02,2.8070806591389493e+04,-6.8385494970983236e+03,-1.4326761196420987e+06
6.3633736430781807e-01,1.3404446579144189e+02,2.8236466718967233e+04,-6.8951136746501852e+03,-1.4524556955650614e+06
6.3163789128453007e-01,1.3411567345644428e+02,2.8476780945006816e+04,-6.9769733675320840e+03,-1.4814207551280872e+06
6.2303095039948553e-01,1.3421955764456118e+02,2.8914919303367813e+04,-7.1255701552625087e+03,-1.5350615785482021e+06
6.1826504106288882e-01,1.3426243631721692e+02,2.9156430670646827e+04,-7.2070879255667669e+03,-1.5650912139160791e+06
6.0992945066810156e-01,1.3431256433162264e+02,2.9576969791466621e+04,-7.3482986868975249e+03,-1.6181688538417039e+06
6.0513185409190473e-01,1.3432716897132102e+02,2.9817944968253836e+04,-7.4287605549647842e+03,-1.6490362679910825e+06
5.9685455073351779e-01,1.3432808518808551e+02,3.0231878852430527e+04,-7.5661323175720299e+03,-1.7028337393927614e+06
5.9224546410185197e-01,1.3431534880365899e+02,3.0461377955181822e+04,-7.6418060582208918e+03,-1.7330851959439158e+06
5.8398111945125430e-01,1.3426893898423239e+02,3.0871114451254711e+04,-7.7759730481275228e+03,-1.7878517232254799e+06
5.7935073856750297e-01,1.3422977261870477e+02,3.1099696018027706e+04,-7.8502672107929548e+03,-1.8188284100686198e+06
5.7136847717761574e-01,1.3414017738698885e+02,3.1492089445143374e+04,-7.9768132860571131e+03,-1.8727164551676284e+06
5.6667138137255968e-01,1.3407444883274761e+02,3.1722014593828084e+04,-8.0503496115491607e+03,-1.9047127180925312e+06
5.5896969962653076e-01,1.3394590912150557e+02,3.2097458202786380e+04,-8.1693896199781502e+03,-1.9576308346353644e+06
5.5426381294704830e-01,1.3385471082671216e+02,3.2325912664650990e+04,-8.2411629218712242e+03,-1.9902408456319007e+06
5.4683971790140096e-01,1.3369137423253449e+02,3.2684867172370032e+04,-8.3528661206342258e+03,-2.0421087091726556e+06
5.4210555532425708e-01,1.3357480883189697e+02,3.2912832896179410e+04,-8.4230964412653848e+03,-2.0754509631277910e+06
5.3490711565272209e-01,1.3337908928800624e+02,3.3258075913964363e+04,-8.5283506092043153e+03,-2.1265442244050964e+06
5.3015105623733827e-01,1.3323756345356784e+02,3.3485264447150672e+04,-8.5968544215784113e+03,-2.1605614532310860e+06
5.2322431365956468e-01,1.3301408501853453e+02,3.3814840693411854e+04,-8.6951075202178399e+03,-2.2104702337897792e+06
5.1845203130833095e-01,1.3284814850244675e+02,3.4041009572266950e+04,-8.7617312416650711e+03,-2.2451060133642578e+06
5.1174588792041853e-01,1.3259847701905966e+02,3.4357591380408543e+04,-8.8538423995857684e+03,-2.2941191041566688e+06
5.0696317777595423e-01,1.3240864277152372e+02,3.4582489319066568e+04,-8.9184333433629326e+03,-2.3293164206195306e+06
5.0047514910465940e-01,1.3213544886661217e+02,3.4886401209762938e+04,-9.0045549436149977e+03,-2.3773825962132318e+06
4.9570999237995589e-01,1.3192330027207765e+02,3.5108747901408024e+04,-9.0666847029927194e+03,-2.4129168000074523e+06
4.8943685821882282e-01,1.3162914864937022e+02,3.5400343237761626e+04,-9.1469939250288808e+03,-2.4599925461972672e+06
4.8469320395111315e-01,1.3139548065910725e+02,3.5620000851877383e+04,-9.2065817266379599e+03,-2.4958122402742850e+06
4.7863137357490865e-01,1.3108277428096025e+02,3.5899639392326579e+04,-9.2812672535607180e+03,-2.5418606627326738e+06
4.7387001865182732e-01,1.3082603474939648e+02,3.6118451673613374e+04,-9.3387586324190706e+03,-2.5782444832382565e+06
4.6801615549460107e-01,1.3049694463655962e+02,3.6386463073011910e+04,-9.4079997764749369e+03,-2.6232325776745062e+06
4.6328483267426801e-01,1.3022010076808326e+02,3.6602265923892839e+04,-9.4627791921590488e+03,-2.6597979753320655e+06
4.5761410616203002e-01,1.2987545946984574e+02,3.6859954152136917e+04,-9.5270127214365621e+03,-2.7038614804709107e+06
4.5289575253448544e-01,1.2957800375764165e+02,3.7073562655098853e+04,-9.5792547351921967e+03,-2.7407205722858389e+06
4.4742542689045656e-01,1.2922093754023277e+02,3.7320298970994627e+04,-9.6384275506809481e+03,-2.7836742609121646e+06
4.4288326557998847e-01,1.2891446094502305e+02,3.7524421291877305e+04,-9.6864017078446141e+03,-2.8195178091194103e+06
4.3760683760683761e-01,1.2854700854700855e+02,3.7760683760683758e+04,-9.7407869091971661e+03,-2.8613561545766676e+06
4.3323490487570804e-01,1.2823319949416083e+02,3.7955744718276663e+04,-9.7847360901212833e+03,-2.8961840353149991e+06
4.2812672869010515e-01,1.2785576625601298e+02,3.8182846034695714e+04,-9.8347857556936669e+03,-2.9370604180803560e+06
4.2393824767614691e-01,1.2753758243089203e+02,3.8368406298509559e+04,-9.8747613015607185e+03,-2.9707231899615261e+06
4.2171110319216382e-01,1.2736518738609730e+02,3.8466833894349104e+04,-9.8956220945960831e+03,-2.9886757850099085e+06
4.1897413037863562e-01,1.2715026908730835e+02,3.8587563662616332e+04,-9.9208781285944315e+03,-3.0107880944658383e+06
4.1494405236726717e-01,1.2682764960605520e+02,3.8764871102090772e+04,-9.9572953855298401e+03,-3.0434473345871950e+06
4.1013814610170546e-01,1.2643328629877274e+02,3.8975589167322672e+04,-9.9995058474647030e+03,-3.0825476675979439e+06
4.0626090929880604e-01,1.2610744885544240e+02,3.9145013199217879e+04,-1.0032579866652812e+04,-3.1142131164076994e+06
4.0160800600612162e-01,1.2570732195997613e+02,3.9347648846692129e+04,-1.0071096886064735e+04,-3.1523540363071235e+06
3.9787814956841872e-01,1.2537936249200011e+02,3.9509544708479072e+04,-1.0101034702024228e+04,-3.1830380553018749e+06
3.9335576762429669e-01,1.2497306093191530e+02,3.9705191188678808e+04,-1.0136196612009273e+04,-3.2203710256014657e+06
3.8976813707701968e-01,1.2464395255586014e+02,3.9859889587838516e+04,-1.0163191592137215e+04,-3.2500870392495603e+06
3.8538921770502477e-01,1.2423406821939180e+02,4.0048094231203140e+04,-1.0195046326533809e+04,-3.2864751338214390e+06
3.8192184729572332e-01,1.2390308569967856e+02,4.0196639062689719e+04,-1.0219404782737540e+04,-3.3153792996157124e+06
3.7766512500439176e-01,1.2348894257393603e+02,4.0378414442825604e+04,-1.0248247615588140e+04,-3.3509720053450102e+06
3.7433042552884810e-01,1.2315845330324630e+02,4.0520362721301062e+04,-1.0270015241446436e+04,-3.3789377145882910e+06
3.7019203762297803e-01,1.2274087199427460e+02,4.0695963518421682e+04,-1.0296003413813200e+04,-3.4137428918839041e+06
3.6698520747805230e-01,1.2241158580637912e+02,4.0831608561575820e+04,-1.0315350298496987e+04,-3.4407882455666545e+06
3.6296136109348931e-01,1.2199131346352176e+02,4.1001280455089669e+04,-1.0338635256687699e+04,-3.4748153097727364e+06
3.5986216484510775e-01,1.2166220069083403e+02,4.1131556809557165e+04,-1.0355808071067080e+04,-3.5010915926663582e+06
3.5596471563829873e-01,1.2124158214640457e+02,4.1294882879065393e+04,-1.0376450738784824e+04,-3.5342191216301117e+06
3.5295416128046553e-01,1.2091150702984908e+02,4.1420654963215398e+04,-1.0391659983909358e+04,-3.5598709606878287e+06
3.4916394620466273e-01,1.2048949455630500e+02,4.1578514781489735e+04,-1.0409883712387034e+04,-3.5922426714705182e+06
3.4626906755898157e-01,1.2016229182431778e+02,4.1698718508874750e+04,-1.0423100226056484e+04,-3.6170242404461205e+06
3.4258253558741902e-01,1.1973944783851468e+02,4.1851331808517651e+04,-1.0439039065320603e+04,-3.6486529341108571e+06
3.3978454245853040e-01,1.1941387960162592e+02,4.1966813847195415e+04,-1.0450461429470815e+04,-3.6727101647732239e+06
3.3619842776549747e-01,1.1899070953904251e+02,4.2114381827153316e+04,-1.0464238829235703e+04,-3.7036080488313921e+06
3.3349399095086335e-01,1.1866716680004569e+02,4.2225337962460253e+04,-1.0473980767072921e+04,-3.7269565763475564e+06
3.2999113385101425e-01,1.1824242308149542e+02,4.2368625038561440e+04,-1.0485760052442482e+04,-3.7572575419911896e+06
3.2737716415948137e-01,1.1792125453024519e+02,4.2475235881794317e+04,-1.0493926502478507e+04,-3.7799123261927590e+06
3.2398259329908652e-01,1.1749876711177971e+02,4.2613277868429148e+04,-1.0503726322329527e+04,-3.8093864253192497e+06
3.2145581754148250e-01,1.1718028916839661e+02,4.2715730810555615e+04,-1.0510423624093941e+04,-3.8313647236909643e+06
3.1813901402356770e-01,1.1675701814664934e+02,4.2849825659820308e+04,-1.0518431931336714e+04,-3.8602645188005734e+06
3.1246838210558570e-01,1.1601951027580397e+02,4.3078044165406012e+04,-1.0530033597581887e+04,-3.9098014747821540e+06
